"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"32765","Oviedo","FL","Orlando","Seminole",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1900,1900,2025,2075,2002.5,1912.5,1875,1850,1909.5,1890,1905,1995,1975,1990,1950,1990,2100
"89074","Henderson","NV","Las Vegas","Clark",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1510,1672.5,1587.5,1724.5,1750,1750,1725,1700,1750,1795,1799.5,1600,1600,1750,1795,1795,1795,1760,1995,1872.5,1795,1900
"77346","Atascocita","TX","Houston","Harris",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1785,1700,1700,1744.5,1714.5,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1754.5,1775,1750,1787,1824.5,1995,1825,1729,1727,1800,1750,1725,1719,1625,1790,1799.5,1792,1795,1795,1800,1785,1795,1750,1750,1750,1750,1795,1782.5,1850,1950,1900,1895,1852.5
"19104","Philadelphia","PA","Philadelphia","Philadelphia",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2400,2400,2400,2400,2260,2400,2300,2200,2400,2500,2500,2500,2500,2500,2500,2500,2400
"30101","Acworth","GA","Atlanta","Cobb",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597,1550,1637,1599.5,1599,1595,1625,1610,1620,1637.5,1600,1595,1625,1697.5,1696,1695,1650,1695,1700
"92620","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4000,4100,4075,4000,4272.5,4000,4000,4050,4050,4095,4200,4000,4000,4000,4100,4300,4200,4095
"89148","Las Vegas","NV","Las Vegas","Clark",88,,,,,,,,,,,,,1520,1495,1495,1450,1445,1495,1400,1395,1400,1395,1350,1350,1350,1350,1395,1495,1500,1475,1475,1450,1472.5,1450,1395,1400,1400,1450,1450,1450,1500,1522.5,1450,1500,1500,1450,1450,1462.5,1495,1450,1450,1499,1450,1400,1500,1595,1495,1495,1535,1500,1595,1595,1550,1495,1550,1550,1500,1450,1497,1495,1572.5,1500,1575,1632.5,1625,1650,1650,1600,1650,1695,1650,1650,1650,1650,1650,1650,1695,1695,1700,1750,1795
"78254","San Antonio","TX","San Antonio","Bexar",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1650,1695,1650,1650,1600,1597.5,1650,1725,1650,1600,1562.5,1600,1595,1600,1670,1692.5,1650,1650
"77070","Houston","TX","Houston","Harris",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,1625,1795,1700,1747.5,1700,1700,1700,1695,1750,1700,1750,1797.5,1800,1750,1700,1775,1800
"96706","Ewa Beach","HI","Urban Honolulu","Honolulu",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3287.5,3400,3300,3275,3300,3125,3185,3000,3000,3000,3200,2925,3200,3200,3300,3375,3275
"06511","New Haven","CT","New Haven","New Haven",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1600,1650,1700,1562.5,1597.5,1650,1650,1625,1650,1595,1650,1695,1750,1650,1747.5,1900
"92562","Murrieta","CA","Riverside","Riverside",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197.5,2300,2300,2225,2150,2272.5,2299.5,2200,2200,2150,2199,2300,2251,2250,2200,2250,2450,2412.5,2350
"77375","Tomball","TX","Houston","Harris",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1662.5,1687.5,1675,1800,1950,1995,1872.5,1850,1800,1850,1800,1850,1875,1925,1950,2000,1997.5,1950,2100
"02135","Boston","MA","Boston","Suffolk",95,2600,2600,2600,2600,2550,2500,2500,2500,2550,2600,2700,2800,2700,2650,2650,2700,2750,2700,2724.5,2660,2800,2800,2800,2800,2800,2900,2950,2950,3000,3000,3000,3000,3000,2950,2950,2950,2999,3000,3000,3100,3150,3100,3100,3100,3200,3100,3199,3200,3200,3100,3100,3200,3200,3100,3100,3100,3050,3000,3050,3100,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3150,3400,3400,3400,3400,3400,3400,3400,3400,3400,3300,3400,3400,3400,3400,3400,3400,3500,3450,3400
"76137","Fort Worth","TX","Dallas-Fort Worth","Tarrant",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.5,1755,1777.5,1745,1745,1700,1700,1607.5,1595,1550,1600,1595,1720,1775,1737.5,1750,1695
"92130","San Diego","CA","San Diego","San Diego",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195,4295,4500,4500,4597,4400,4200,4350,4400,4500,4500,4500,4500,4400,4500,4597.5,4650,4497.5,4575
"89147","Las Vegas","NV","Las Vegas","Clark",98,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1297.5,1300,1300,1350,1495,1450,1400,1322.5,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1467.5,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1600,1535,1495,1600,1530,1395,1450,1487.5,1399,1485,1400,1450,1500,1650,1600,1650,1650,1574,1550,1550,1595,1595,1650,1600,1695,1697.5,1672.5,1650,1700
"92563","Murrieta","CA","Riverside","Riverside",99,,,,,,,1872.5,1972.5,1895,1895,1897.5,1950,1950,1897.5,1900,1900,1900,1900,1850,1850,1850,1850,1895,1895,1900,1895,1895,1895,1900,1900,1900,1900,1900,1900,1900,1895,1899,1895,1875,1895,1962.5,1925,1900,1950,1995,1975,1945,1937.5,1950,1950,1928,1998,2000,2000,2072.5,1999,1995,1995,2097.5,2000,1995,2000,2000,1995,2050,2100,2000,2100,2195,2091,2095,2095,2096,2195,2195,2200,2200,2150,2200,2295,2275,2272.5,2200,2170,2200,2295,2295,2300,2295,2295,2295
"30144","Kennesaw","GA","Atlanta","Cobb",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1572.5,1575,1645,1695,1685,1700,1670,1691,1660,1650,1645,1645,1650,1700,1707,1775,1775
"28540","Jacksonville","NC","Jacksonville","Onslow",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1050,1125,1150,1200,1150,1097.5,1045,1025,1050,1000,1037.5,1050,1147.5,1100,1087.5,1150,1250,1300
"29229","Columbia","SC","Columbia","Richland",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1397.5,1450,1550,1495,1495,1400,1450,1400,1400,1395,1380,1400,1435,1425,1425,1450
"77373","Spring","TX","Houston","Harris",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1459,1450,1475,1550,1600,1530,1550,1500,1550,1575,1620,1650,1625,1600,1625,1650,1625
"38016","Memphis","TN","Memphis","Shelby",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,1595,1637.5,1620,1585,1500,1500,1645,1690,1675,1685,1595
"23456","Virginia Beach","VA","Virginia Beach","Virginia Beach City",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1985,1995,1950,2000,1950,1895,1995,1962.5,1897.5,1900,1925,1995,1947.5,2100,2150,2100,2000
"28546","Jacksonville","NC","Jacksonville","Onslow",106,,,1225,1250,1200,1250,1257,1300,1300,1300,1250,1225,1195,1195,1150,1200,1250,1250,1237.5,1200,1221,1200,1197,1150,1150,1160,1160,1160,1237.5,1200,1195,1195,1162.5,1195,1100,1100,1100,1095,1075,1100,1200,1200,1200,1200,1195,1150,1100,1100,1100,1100,1100,1150,1195,1175,1150,1100,1100,1100,1100,1100,1150,1100,1112.5,1200,1200,1150,1150,1212.5,1100,1198.5,1100,1050,1100,1147.5,1150,1175,1200,1250,1200,1150,1100,1100,1100,1125,1137.5,1225,1162.5,1200,1262.5,1250,1250
"78253","San Antonio","TX","San Antonio","Bexar",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1615,1692,1697.5,1695,1695,1787.5,1797.5,1800,1800,1750,1692,1725,1695,1695,1695,1695,1750,1750,1800,1750
"30114","Canton","GA","Atlanta","Cherokee",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1517,1500,1550,1550,1550,1615,1600,1587.5,1577.5,1557.5,1575,1600,1582.5,1597.5,1595.5,1645,1645,1595,1595.5
"89129","Las Vegas","NV","Las Vegas","Clark",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.5,1495,1495,1500,1495,1511,1612.5,1500,1495,1590,1587.5,1547.5,1500,1500,1550,1650,1650,1650,1590
"92880","Eastvale","CA","Riverside","Riverside",110,,,,,,,,,,,,,2300,2300,2300,2350,2300,2300,2300,2300,2300,2295,2300,2300,2300,2300,2300,2300,2285,2265,2300,2300,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2350,2350,2300,2345,2300,2300,2300,2300,2300,2350,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2437.5,2425,2400,2450,2500,2500,2300,2455,2500,2450,2497,2550,2550,2600,2568.5,2550,2550,2572.5,2550,2550,2500,2500,2500,2500,2595,2595,2600,2600,2600
"33578","Riverview","FL","Tampa","Hillsborough",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1519,1530,1550,1517,1525,1550,1600,1610,1587.5,1600,1550,1550,1575,1550,1597.5,1600,1650,1665,1675
"75025","Plano","TX","Dallas-Fort Worth","Collin",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1970,1900,1900,1950,1950,1995,2022.5,1995,1950,1950,1950,1972.5,1995,2095,2097.5,1995,1995,1999,1995,1950,1995,2000,2095,2000,2100,2150,2200,2100,2147.5,2100,2072,1999.5,2072.5,2000,2000,2100,2100,2150,2200,2146,1995,2100,1995,2075,2150,2100,2195,2250,2200,2197.5,2150,2150,2100,2000,2000,2100,2100,2100,2100,2150,2195,2200
"78258","San Antonio","TX","San Antonio","Bexar",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.5,2000,2097.5,2272,2283.5,2265,2265,2255,2325,2265,2395,2254,2089,2119.5,2195,2200,2195,2200,2283.5,2200,2281,2325
"93312","Bakersfield","CA","Bakersfield","Kern",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1650,1650,1650,1650,1662.5,1750,1750,1700,1725,1750,1750,1695,1695,1625,1675,1695,1695,1695
"92618","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4175,4125,4100,4100,4000,4125,4175,4150,4200,4250,4000,4200,4200,4175,4450,4500,4500,4280
"75068","Little Elm","TX","Dallas-Fort Worth","Denton",116,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1650,1600,1650,1650,1600,1625,1600,1597.5,1597.5,1600,1597.5,1600,1650,1697.5,1650,1650,1695,1695,1700,1750,1795,1700,1737.5,1697.5,1750,1795,1797.5,1850,1850,1800,1785,1800,1895,1837.5,1850,1850,2000,1795,1750,1897.5,1850,1950,1800,1795,1795,1862.5,1800,1950,1995,1900,1950,1900,1900,1895,1850,1850,1850,1925,1950,1980,1957.5,1950,1922.5
"22554","Stafford","VA","Washington","Stafford",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2150,2100,2272.5,2272.5,2200,2200,2100,2172.5,2150,2200,2175,2150,2150,2200,2250,2200,2250,2300
"33178","Doral","FL","Miami-Fort Lauderdale","Miami-Dade",118,2500,2500,2500,2562.5,2500,2650,2600,2600,2500,2500,2575,2575,2672.5,2650,2650,2700,2700,2700,2800,2600,2600,2600,2650,2700,2600,2600,2600,2700,2800,2750,2712.5,2700,2650,2662.5,2650,2650,2650,2650,2600,2595,2699,2750,2800,2800,2750,2750,2700,2700,2700,2800,2800,2800,2900,3000,2850,2900,2950,3000,2925,2900,2900,2900,2950,2950,3000,2800,2850,2874.5,2950,2899.5,2850,2750,2800,2850,2899.5,2850,2800,2900,2990,2900,2900,2900,2900,2912.5,2900,2900,3000,3000,3000,2990,2980
"66502","Manhattan","KS","Manhattan","Riley",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1440,1440,1400,1345,1325,1350,1277.5,1250,1200,1165,1260,1400,1400,1440,1390,1380,1300,1249,1200
"75071","McKinney","TX","Dallas-Fort Worth","Collin",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1795,1900,1950,1950,1950,1900,1895,1895,1837.5,1812.5,1850,1850,1850,1900,1900,1895,1987.5,1995,1972.5
"92037","San Diego","CA","San Diego","San Diego",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,7500,8000,8400,8000,7550,8000,7997.5,7995,7450,7500,8000,7500,7500,7800,7350,7200
"33033","Homestead","FL","Miami-Fort Lauderdale","Miami-Dade",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1600,1700,1800,1800,1800,1775,1800,1800,1800,1775,1850,1875,1821,1862.5,1772.5,1800,1850,1825,1847.5,1900,1900
"79928","Horizon City","TX","El Paso","El Paso",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1195,1195,1100,1100,1119.5,1125,1150,1175,1200,1250,1150,1230,1300,1299.5,1350,1349,1295
"77407","Richmond","TX","Houston","Fort Bend",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1900,2000,2095,2100,2150,1950,1900,1972.5,2100,2197.5,1932.5,1825,1895,1925,1895,1872.5,1850,1850,1850,1890,1900,1975,1850,1850,1950,1800,1990,1899,1900,1925,1950,1849,1850,1950,1950,1950,1950,1950,1897,1897.5,1962.5,1962.5,1999,2000,1900,1850,1825,1850,1850,1900,1900,1900
"28173","Waxhaw","NC","Charlotte","Union",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149,2080,2099,2089,1995,2097.5,2195,2195,2195,2095,2085,2090,2125,2097.5,2045,2150,2100,2100,2095
"28117","Mooresville","NC","Charlotte","Iredell",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.5,1800,1800,1872.5,1972.5,1825,1995,1895,1795,1745,1735,1795,1725,1795,1795,1695,1800,1849,1800
"75024","Plano","TX","Dallas-Fort Worth","Collin",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.5,2425,2292.5,2295,2345,2400,2300,2422.5,2400,2200,2200,2250,2300,2262.5,2225,2195,2400,2500,2425
"30809","Evans","GA","Augusta","Columbia",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1500,1575,1595,1562.5,1595,1625,1600,1550,1550,1595,1575,1595,1622.5,1550,1575,1562.5,1599.5,1650,1600
"32746","Lake Mary","FL","Orlando","Seminole",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,2100,2195,2225,2325,2197.5,2200,2150,2022.5,2022.5,2000,2195,2295,2296,2200,2322.5,2350,2430
"30518","Buford","GA","Atlanta","Gwinnett",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1600,1625,1695,1699.5,1650,1640,1610,1600,1600,1625,1700,1722.5,1725,1725,1786,1800
"33179","Ives Estates","FL","Miami-Fort Lauderdale","Miami-Dade",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2600,2550,2600,2750,2800,2750,2700,2750,2700,2725,2750,2950,3100,3100,3100
"77406","Richmond","TX","Houston","Fort Bend",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1850,1800,1885,1985,1950,1985,2050,1999.5,1995,1900,1995,2000,1900,1900,1900,1972.5,2100,2100
"28306","Fayetteville","NC","Fayetteville","Cumberland",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1425,1450,1500,1400,1375,1397.5,1350,1450,1422.5,1475,1497.5,1475,1500,1500,1550,1600
"30097","Duluth","GA","Atlanta","Gwinnett",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2100,2025,2025,2050,2047.5,2200,2100,2050,1999.5,1995,2000,2050,2025,2050,2000,2100,2100,2100
"19121","Philadelphia","PA","Philadelphia","Philadelphia",135,,,,,,,,,,,,2200,2400,2300,2300,2200,2197.5,2100,2000,2000,2000,2100,2200,2280,2200,2260,2300,2260,2100,2100,2000,2000,2000,2200,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2100,2000,2000,2100,2200,2200,2200,2200,2200,2200,2200,2200,2100,2000,2000,2000,2200,2200,2400,2200,2200,2200,2200,2200,2200,2200,2200,2200,2400,2300,2300,2300,2260,2200,2200,2200,2200,2100
"20148","Ashburn","VA","Washington","Loudoun",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625,2647.5,2700,2600,2750,2750,2790,2645,2800,2700,2590,2550,2600,2850,2750,2900,2837.5
"77469","Richmond","TX","Houston","Fort Bend",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,1900,1850,1850,1850,1800,1800,1800,1750,1825,1895,1825,1800,1800,1800,1850,1875,1850,1850
"32259","Fruit Cove","FL","Jacksonville","Saint Johns",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899,1895,1900,2125,1997.5,2067.5,2102.5,2075,1925,1950,1995,2034.5,2000,1995,1995,2031,2157,2047.5,2050
"77388","Spring","TX","Houston","Harris",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1695,1650,1675,1695,1695,1695,1695,1700,1725,1825,1822,1799,1750,1750,1750,1762.5,1750
"78109","Converse","TX","San Antonio","Bexar",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1450,1475,1450,1400,1450,1450,1450,1450,1450,1437.5,1475,1475,1495,1525
"33177","South Miami Heights","FL","Miami-Fort Lauderdale","Miami-Dade",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199,2200,2200,2300,2300,2410,2335,2224.5,2296,2250,2207.5,2200,2225,2200,2229
"89131","Las Vegas","NV","Las Vegas","Clark",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1660,1650,1695,1695,1730,1695,1695,1600,1597,1677.5,1695,1695,1665,1672.5,1697,1800,1797.5,1822.5
"34786","Windermere","FL","Orlando","Orange",143,,,,,,,,,,,,,,1925,2200,2100,2100,2100,2200,2050,2250,2275,2000,2212.5,2000,1975,1950,1995,2200,2295,2295,2272.5,2247.5,2200,2195,2100,2100,2100,2100,2100,2050,1900,2000,2000,2000,2050,1995,1990,2050,2085,2095,2200,2125,2237.5,2150,2350,2297.5,2225,2150,2100,2150,2200,2300,2350,2325,2395,2200,2200,2422.5,2200,2285,2300,2300,2397.5,2275,2500,2500,2450,2627.5,2525,2475,2450,2300,2400,2400,2537.5,2400,2400,2447.5,2400,2487.5
"34746","Kissimmee","FL","Orlando","Osceola",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1400,1390,1395,1395,1400,1475,1450,1450,1450,1450,1495,1450,1450,1497.5,1495,1497.5,1497.5,1500,1500,1550,1495,1500,1555,1550,1497.5,1500,1495,1595,1500,1597.5,1650,1595,1500,1550,1600,1599,1550,1550,1600,1650,1695,1642.5,1650,1700,1750,1674.5
"32712","Apopka","FL","Orlando","Orange",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1785,1737.5,1800,1750,1825,1755,1760,1779.5,1783,1775,1800,1800,1795,1799,1795,1815,1795,1850
"33196","The Hammocks","FL","Miami-Fort Lauderdale","Miami-Dade",146,,,,2025,2150,2150,2150,2292.5,2300,2250,2200,2100,2200,2200,2200,2175,2175,2100,2270,2300,2200,2185,2200,2200,2200,2200,2300,2300,2300,2300,2300,2300,2289,2282,2299,2255,2271.5,2299,2299,2250,2295,2250,2272.5,2310,2300,2300,2300,2325,2300,2202.5,2262.5,2312.5,2272.5,2300,2300,2290,2292.5,2300,2400,2350,2300,2300,2300,2250,2450,2350,2500,2300,2450,2395,2265,2200,2250,2300,2292,2400,2450,2410.5,2449.5,2485,2475,2500,2462.5,2475,2500,2500,2450,2500,2540,2500,2500
"30519","Buford","GA","Atlanta","Gwinnett",147,,,,,,,,,,,,,,,,1295,1300,1350,1350,1300,1295,1372.5,1362.5,1350,1395,1395,1395,1395,1317.5,1372.5,1375,1397.5,1400,1400,1400,1400,1400,1400,1400,1400,1437.5,1400,1400,1425,1400,1450,1450,1462.5,1450,1450,1500,1500,1525,1500,1500,1495,1495,1480,1500,1547,1500,1500,1550,1540,1500,1500,1525,1500,1500,1507.5,1500,1460,1500,1550,1595,1600,1600,1648,1640.5,1670,1645,1650,1650,1650,1675.5,1695,1700,1700,1700,1750,1700
"02127","Boston","MA","Boston","Suffolk",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4500,4800,4800,4800,4400,4200,4000,4000,4200,4200,4000,3995,4600,4500,4500,4800,4800
"30039","Snellville","GA","Atlanta","Gwinnett",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1469,1495,1479.5,1487,1559,1529,1498,1495,1495,1495,1495,1495,1505.5,1500,1564,1560.5,1556,1562
"91765","Diamond Bar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899,2850,2800,2800,2850,2850,2850,2950,2950,2975,2997.5,2950,3000,2987.5,2950,2950,3100,3000
"30813","Grovetown","GA","Augusta","Columbia",151,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1297.5,1300,1295,1275,1275,1237.5,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1295,1295,1295,1295,1250,1250,1295,1350,1350,1295,1295,1300,1300,1350,1300,1295,1285,1300,1300,1300,1350,1395,1395,1395,1350,1375,1250,1312.5,1275,1300,1337.5,1350,1400,1400,1400,1350,1350,1395,1412.5,1395,1375,1362.5,1350,1350,1325,1395,1450,1400,1400
"32824","Orlando","FL","Orlando","Orange",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574,1587.5,1662.5,1695,1639.5,1600,1625,1695,1695,1755,1720.5,1750,1799,1749.5,1720,1750,1760,1800,1850,1850,1800
